digit,stage,loss,accuracy,acc_digit_0,acc_digit_1,acc_digit_2,acc_digit_3,acc_digit_4,acc_digit_5,acc_digit_6,acc_digit_7,acc_digit_8,acc_digit_9
0,baseline,7.403486,0.434243,0.980000,0.000000,0.029412,0.000000,0.000000,0.000000,0.527778,1.000000,0.000000,0.466667
0,perturbed,7.432985,0.441687,0.980000,0.000000,0.058824,0.000000,0.000000,0.000000,0.583333,1.000000,0.000000,0.466667
1,baseline,2.114919,0.419437,0.419355,0.990000,0.933333,0.000000,0.000000,0.038462,0.225806,0.361111,0.093750,0.000000
1,perturbed,2.112209,0.421995,0.516129,0.990000,0.900000,0.000000,0.000000,0.038462,0.225806,0.333333,0.093750,0.000000
2,baseline,3.111916,0.350126,0.600000,0.000000,0.930000,0.000000,0.000000,0.120000,0.200000,0.500000,0.051282,0.000000
2,perturbed,3.096249,0.345088,0.628571,0.000000,0.900000,0.000000,0.000000,0.040000,0.200000,0.500000,0.102564,0.000000
3,baseline,3.763812,0.337596,0.000000,0.000000,0.958333,0.990000,0.000000,0.294118,0.000000,0.000000,0.000000,0.000000
3,perturbed,3.725603,0.335038,0.000000,0.000000,1.000000,0.980000,0.000000,0.235294,0.000000,0.000000,0.034483,0.000000
4,baseline,8.173115,0.492500,0.606061,0.000000,0.031250,0.000000,0.970000,0.000000,0.825000,0.969697,0.000000,0.518519
4,perturbed,8.157267,0.495000,0.606061,0.000000,0.062500,0.000000,0.970000,0.000000,0.825000,0.969697,0.000000,0.518519
5,baseline,3.088940,0.403509,0.312500,0.000000,0.937500,0.000000,0.000000,0.960000,0.194444,0.384615,0.228571,0.000000
5,perturbed,3.075350,0.406015,0.375000,0.000000,0.937500,0.000000,0.000000,0.960000,0.194444,0.346154,0.228571,0.000000
6,baseline,8.991698,0.422330,0.642857,0.000000,0.076923,0.000000,0.038462,0.000000,0.970000,0.975000,0.000000,0.421053
6,perturbed,8.998476,0.434466,0.678571,0.000000,0.076923,0.000000,0.038462,0.000000,0.990000,0.975000,0.000000,0.473684
7,baseline,14.185029,0.380488,0.312500,0.000000,0.000000,0.000000,0.085714,0.000000,0.789474,0.930000,0.000000,0.606061
7,perturbed,14.288975,0.397561,0.437500,0.000000,0.032258,0.000000,0.028571,0.000000,0.842105,0.930000,0.000000,0.666667
8,baseline,2.959502,0.400000,0.192308,0.000000,1.000000,0.000000,0.000000,0.206897,0.187500,0.372093,0.880000,0.000000
8,perturbed,2.964016,0.394937,0.269231,0.000000,1.000000,0.000000,0.000000,0.172414,0.187500,0.302326,0.880000,0.000000
9,baseline,11.099181,0.425373,0.500000,0.000000,0.051282,0.000000,0.000000,0.000000,0.909091,1.000000,0.000000,0.930000
9,perturbed,11.339937,0.425373,0.558824,0.000000,0.025641,0.000000,0.000000,0.000000,0.878788,1.000000,0.000000,0.930000
