epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty
1,0.003203,0.999386,0.000462,0.999825,0.000321,0.00060741,0.060741
2,0.000755,1.000000,0.000607,0.999737,0.000092,0.00028831,0.028831
3,0.010001,0.998333,0.000174,1.000000,0.000105,0.00216235,0.216235
4,0.001951,0.999934,0.000351,0.999912,0.000036,0.00079596,0.079596
5,0.000718,1.000000,0.000305,0.999912,0.000120,0.00024286,0.024286
6,0.000504,1.000000,0.000439,0.999912,0.000110,0.00026291,0.026291
7,0.000482,1.000000,0.000198,0.999912,0.000086,0.00038296,0.038296
8,0.000578,1.000000,0.000173,1.000000,0.000052,0.00013031,0.013031
9,0.000407,1.000000,0.000179,1.000000,0.000053,0.00018797,0.018797
10,0.000420,1.000000,0.000136,1.000000,0.000152,0.00020249,0.020249
11,0.000377,1.000000,0.000160,1.000000,0.002492,0.00014590,0.014590
12,0.000362,1.000000,0.000150,1.000000,0.000036,0.00016658,0.016658
13,0.000352,1.000000,0.000166,0.999912,0.000175,0.00017091,0.017091
14,0.000334,1.000000,0.000130,1.000000,0.000022,0.00011902,0.011902
15,0.000311,1.000000,0.000125,1.000000,0.000057,0.00009276,0.009276
16,0.000317,1.000000,0.000128,1.000000,0.000019,0.00009452,0.009452
17,0.000298,1.000000,0.000105,1.000000,0.000073,0.00013452,0.013452
18,0.000324,1.000000,0.000096,1.000000,0.000155,0.00011213,0.011213
19,0.012204,0.998136,0.000214,1.000000,0.000025,0.00109009,0.109009
20,0.001645,0.999825,0.000135,1.000000,0.000548,0.00057950,0.057950
