epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty,grad_R,grad_G,grad_B
1,2.984535,0.731469,1.052871,0.728684,0.869621,0.42294142,0.211471,0.109814,0.111061,0.110721
2,1.065062,0.756974,0.764191,0.787105,0.593401,0.23596409,0.117982,0.106100,0.106306,0.105847
3,0.953629,0.775307,0.804202,0.803509,0.561100,0.26112282,0.130561,0.112274,0.111142,0.110240
4,0.811294,0.794825,0.648305,0.810526,0.447471,0.26754159,0.133771,0.108213,0.107491,0.106590
5,0.770632,0.809452,0.589635,0.802632,0.459607,0.17987755,0.089939,0.099409,0.100345,0.098519
6,0.771843,0.782346,0.810681,0.717193,0.928070,0.13773178,0.068866,0.098651,0.100912,0.100081
7,0.872904,0.761601,0.714203,0.757544,0.973603,0.27414900,0.137075,0.105182,0.103132,0.103848
8,0.710020,0.811096,0.582273,0.819123,0.303119,0.07362506,0.036813,0.103269,0.102990,0.103043
9,0.685307,0.812873,0.604784,0.808860,0.770451,0.05695575,0.028478,0.106753,0.107177,0.106838
10,0.682837,0.804868,0.524952,0.828070,0.248262,0.13551876,0.067759,0.111535,0.111178,0.110956
11,0.584593,0.821031,0.552199,0.810000,0.539627,0.19014072,0.095070,0.099085,0.098843,0.101206
12,0.613176,0.829452,0.511208,0.840439,0.426828,0.11715785,0.058579,0.105181,0.104955,0.105013
13,0.510846,0.850658,0.417514,0.862807,0.179480,0.06993799,0.034969,0.102074,0.101978,0.101455
14,0.498057,0.854101,0.451903,0.860439,0.527793,0.13420969,0.067105,0.101261,0.101254,0.100979
15,0.523078,0.855548,0.446019,0.856491,0.526589,0.02932934,0.014665,0.098356,0.098615,0.098272
16,0.515543,0.852215,0.459139,0.849386,0.528563,0.19747055,0.098735,0.112048,0.111635,0.111654
17,0.509067,0.854013,0.413859,0.863333,0.465322,0.10377562,0.051888,0.111119,0.111563,0.111727
18,0.485322,0.855570,0.450190,0.856228,0.417620,0.09650089,0.048250,0.109593,0.109575,0.109258
19,0.482035,0.856096,0.457674,0.853772,0.307989,0.10245064,0.051225,0.107337,0.107202,0.107150
20,0.516663,0.846075,0.477053,0.843421,0.278360,0.06492254,0.032461,0.095269,0.095396,0.095248
