epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty,grad_R,grad_G,grad_B
1,4.629737,0.821447,0.230960,0.935789,0.198456,0.88041359,0.572269,0.101132,0.101120,0.101598
2,0.704526,0.942368,0.194326,0.942807,0.334246,0.64369214,0.418400,0.100909,0.100691,0.100721
3,0.756196,0.915066,0.447607,0.854123,0.211703,0.69431812,0.451307,0.096406,0.096347,0.096698
4,0.675389,0.870504,0.459632,0.848158,0.467925,0.28638348,0.186149,0.108944,0.108762,0.108924
5,0.537705,0.868794,0.394172,0.875789,0.375604,0.12394197,0.080562,0.099895,0.099700,0.099640
6,0.484576,0.887675,0.371658,0.882807,0.647459,0.17280853,0.112326,0.110630,0.110165,0.110724
7,0.484650,0.885351,0.357846,0.880877,0.169445,0.10595071,0.068868,0.102415,0.102035,0.102255
8,0.508752,0.875658,0.340375,0.893070,0.305612,0.14177749,0.092155,0.103904,0.103913,0.104603
9,0.494946,0.882961,0.380708,0.879298,0.384911,0.30864668,0.200620,0.103704,0.102961,0.103392
10,0.457701,0.890373,0.372076,0.884912,0.185175,0.13741806,0.089322,0.103061,0.102632,0.103041
11,0.417572,0.888487,0.352853,0.888772,0.472432,0.07190973,0.046741,0.112234,0.111656,0.112343
12,0.397707,0.898596,0.303661,0.902456,0.541491,0.11024766,0.071661,0.106513,0.106002,0.106714
13,0.361007,0.903728,0.297982,0.903509,0.574275,0.05365157,0.034874,0.111826,0.111337,0.111959
14,0.352162,0.908925,0.282748,0.911842,0.108747,0.04076771,0.026499,0.099154,0.098788,0.099361
15,0.324645,0.917961,0.256762,0.918772,0.212486,0.08625869,0.056068,0.107087,0.107099,0.107761
16,0.323013,0.918268,0.270617,0.915965,0.306430,0.07473893,0.048580,0.113941,0.113901,0.114295
17,0.316291,0.923246,0.249510,0.926228,0.282315,0.05089661,0.033083,0.102539,0.102221,0.102612
18,0.318702,0.919408,0.273572,0.918158,0.412288,0.07511266,0.048823,0.103259,0.102922,0.103261
19,0.312902,0.921952,0.260528,0.921404,0.245588,0.04176765,0.027149,0.111009,0.110980,0.111560
20,0.318857,0.917522,0.252832,0.921579,0.255344,0.05093097,0.033105,0.107629,0.107346,0.108097
